;Power_EUR;Gas_EUR;Emissions_EUR;Coal_USD
24-09-20;40,99;13,55;26,45;59,9
23-09-20;41,21;13,588;26,5;59,5
22-09-20;40,81;13,426;27,85;58,36
21-09-20;40,97;13,388;26,4;57,75
18-09-20;41,82;13,707;27,99;58,42
17-09-20;42,4;13,595;28,43;58,25
16-09-20;42,5;13,603;#N/A;58,5
24-08-20;40,2;13,19;27,48;53,9
21-08-20;#N/A;12,839;25,65;53,45
20-08-20;39,58;13,118;25,9;54,54
19-08-20;39,75;13,095;26,23;55,35
18-08-20;39,9;13,041;26,55;56,01
17-08-20;39,25;12,929;26,3;55,67
15-09-20;43,07;13,375;29,79;57,6
14-09-20;42,6;13,358;30,47;57,75
11-09-20;41,19;13,134;28,26;57,65
10-09-20;41,26;13,058;28,42;56,95
09-09-20;40,92;13,095;27,2;56,46
08-09-20;40,76;13,157;26,79;56,45
07-09-20;41,34;13,457;27,05;55,38
04-09-20;42,1;13,877;27,36;56,32
03-09-20;42,4;13,943;28,74;56,49
02-09-20;41,8;13,886;28,23;56,52
01-09-20;42,02;14,103;27,74;57,7
31-08-20;41,88;13,952;28,66;57,71
28-08-20;42,64;14,007;29,52;57,1
27-08-20;41,64;13,524;28,37;55,9
26-08-20;41,79;13,72;28,62;54,62
25-08-20;41,38;13,548;28,61;54,6
14-08-20;38,79;12,802;25,48;55,77
13-08-20;39,5;12,694;25,43;56,53
12-08-20;39,35;12,623;25,97;56,6
11-08-20;40,32;12,742;26,19;57,55
10-08-20;40,54;12,622;26,71;58,6
07-08-20;40,24;12,651;26,42;59,54
06-08-20;40,69;12,781;26,39;59,39
05-08-20;40,04;12,581;26,77;59,65
04-08-20;39,42;12,333;26,83;59,76
03-08-20;38,95;12,084;26,13;59,69
31-07-20;39,1;11,95;26,28;59,8
30-07-20;38,82;11,936;25,54;59,6
29-07-20;39,59;12,158;26,19;59,61
28-07-20;38,72;12,049;25,74;58,97
27-07-20;38,7;11,856;25,01;#N/A
24-07-20;39,78;#N/A;26,37;59,47
23-07-20;40,54;12,257;27,33;59,95
22-07-20;40,15;12,278;26,63;60,76
21-07-20;39,95;12,375;26,61;60,8
20-07-20;40;12,34;26,17;59,18
17-07-20;41,09;12,731;27,82;60
16-07-20;42,13;12,769;26,61;59,38
15-07-20;42,8;12,827;28,85;60,38
14-07-20;42,18;12,828;29,64;59,1
19-06-20;39,72;12,468;24,16;54,65
18-06-20;39,24;12,369;24,47;54,28
13-07-20;43,13;13,027;29,35;58,21
10-07-20;41,74;12,934;29,02;57,61
09-07-20;42,67;13,075;28,61;57,85
08-07-20;42,71;13,128;29,32;58,19
07-07-20;43,41;13,125;29,39;59,18
06-07-20;43,12;13,025;29,7;58,76
03-07-20;41,47;12,636;27,91;57,53
02-07-20;41,49;12,558;27,37;58,31
01-07-20;41,6;12,425;27,71;57,66
30-06-20;41,64;12,523;26,97;#N/A
29-06-20;40,37;12,427;26,63;58,03
26-06-20;40,11;12,227;24,73;57,44
25-06-20;40,07;12,186;25,18;57,05
24-06-20;40,86;12,328;25,4;56,3
23-06-20;#N/A;12,536;25,41;56,4
22-06-20;39,75;12,355;24,53;54,98
17-06-20;38,34;12,091;22,75;53,81
16-06-20;38,84;12,089;22,78;53,98
15-06-20;37,52;11,896;22,16;53,96
12-06-20;38,2;12,01;22;54,09
11-06-20;38,08;12,056;22,27;53,76
10-06-20;38,43;12,193;22,91;54,33
09-06-20;38,42;12,134;22,48;54,78
08-06-20;39,23;12,374;22,71;54,87
05-06-20;39,15;12,529;23,24;55,68
04-06-20;37,89;12,175;22,21;54,65
03-06-20;38,01;12,125;22,08;54,65
02-06-20;37,43;12,095;22,07;54,48
01-06-20;36,33;11,818;20,97;52,95
29-05-20;36,85;11,931;21,4;51,82
28-05-20;36,83;11,885;21,26;52
27-05-20;37,39;12,078;21,33;52,17
26-05-20;38,05;12,299;21,6;52,3
25-05-20;37,62;12,315;21,59;52,22
22-05-20;36,63;12,011;21,4;51,89
21-05-20;37,03;12,24;21,18;52,08
20-05-20;37,25;12,499;21,26;52,9
19-05-20;36,74;12,434;19,97;52,36
18-05-20;36,59;12,436;20,34;52,9
15-05-20;36,21;12,368;19,17;52,47
14-05-20;35,57;12,266;18,84;52,85
13-05-20;35,35;12,022;18,67;52,58
12-05-20;35,86;12,149;18,52;52,68
11-05-20;36,67;12,417;19,07;53,41
08-05-20;37;12,324;19,35;53,2
07-05-20;36,34;12,311;19,54;53,22
06-05-20;35,86;12,125;19;52,82
05-05-20;36,04;12,058;19,09;52,7
04-05-20;35,73;11,94;19,35;51,98
01-05-20;35,73;#N/A;18,97;52,3
30-04-20;36,29;12,126;19,57;52,88
21-04-20;37,48;12,689;19,85;53,97
20-04-20;38,78;13,02;21,38;55,07
17-04-20;39,6;13,161;21,7;55,23
16-04-20;38,49;12,917;20,94;54,77
15-04-20;36,69;12,536;19,25;54,12
14-04-20;37,59;12,811;19,81;54,28
13-04-20;37,59;#N/A;#N/A;55,51
10-04-20;37,59;#N/A;#N/A;#N/A
09-04-20;38,65;13,018;21,08;55,56
08-04-20;38,52;12,909;21,14;55,87
07-04-20;39,33;13,049;20,51;56,17
06-04-20;37,95;13,04;20,4;55,43
03-04-20;35,84;12,502;17,96;54,33
02-04-20;35,35;12,366;18,06;54,46
01-04-20;34,95;12,069;17,08;54,3
31-03-20;35,65;12,098;17,68;55,18
30-03-20;34,72;11,961;17,06;55,5
27-03-20;34,55;12,189;16,39;56,57
26-03-20;35,62;12,435;17,35;57,58
25-03-20;35;12,475;17,51;58,05
24-03-20;34,9;12,325;16,78;57,2
23-03-20;33,65;11,979;15,54;55,23
20-03-20;34,65;12,177;16,11;55,45
19-03-20;34,35;12,086;16,39;54,73
18-03-20;34,28;12,075;15,3;55,57
17-03-20;36,27;12,473;18,31;55,86
16-03-20;37,46;12,724;19,47;55,74
13-03-20;38,98;13,058;21,94;55,62
12-03-20;39,17;12,918;22,52;54,88
11-03-20;39,99;13,399;23,92;55,8
10-03-20;39,74;13,411;24,1;55,89
09-03-20;39;13,086;23,28;55,09
06-03-20;40,19;13,702;23,42;56,54
05-03-20;40,58;14,178;23,81;57,59
04-03-20;40,84;14,294;23,83;57,44
03-03-20;40,68;14,337;23,36;57,4
02-03-20;39,92;13,871;23,52;57,1
28-02-20;39,79;13,844;23,61;57,04
27-02-20;40,32;13,792;23,6;56,84
26-02-20;40,75;14,137;24,26;57,72
25-02-20;40,99;14,083;24,18;57,33
24-02-20;41,23;14,153;24,57;57,25
21-02-20;42,18;14,666;25,61;58,55
20-02-20;42,7;14,923;25,64;58,71
19-02-20;42,87;15,067;25,71;59,42
18-02-20;43,09;15,266;25,14;59,5
17-02-20;43,13;15,521;25,05;61,58
14-02-20;42,49;15,195;24,29;60,94
13-02-20;42,28;15,023;24,4;60,6
12-02-20;41,9;14,725;23,88;59,72
11-02-20;40,98;14,355;23,3;59,3
10-02-20;40,25;14,204;23,16;58,3
07-02-20;40,95;14,467;23,32;59,3
06-02-20;40,68;14,424;23,56;60,47
05-02-20;41,36;14,482;23,77;61,25
04-02-20;40,49;14,129;23,36;60,68
03-02-20;40,19;13,725;23,21;59,33
31-01-20;40,95;14,007;23,88;52
30-01-20;41,2;14,244;23,74;51,92
29-01-20;41,86;14,651;23,99;52,96
28-01-20;42,11;15,17;24,65;54,3
27-01-20;41,87;14,98;24,59;53,62
24-01-20;41,86;15,08;24,38;53,07
23-01-20;41,89;15,075;24,7;53,27
22-01-20;43,09;15,232;25,01;52,68
21-01-20;42,83;15,376;24,92;52,94
20-01-20;42,87;15,391;25,17;52,29
17-01-20;43,66;15,799;25,44;52,71
16-01-20;43,8;15,943;24,85;53,98
15-01-20;44,1;16,175;24,51;55,73
14-01-20;44,08;16,274;23,84;56,41
13-01-20;45,14;16,741;24,14;58,52
10-01-20;44,9;16,65;24,21;57,73
09-01-20;45,15;16,75;24,67;57,47
08-01-20;44,58;16,592;24,08;57,2
07-01-20;44,51;16,452;24,55;57,26
06-01-20;44,55;16,617;24,23;56,86
03-01-20;44,85;16,838;24,98;57,06
02-01-20;43,85;16,372;24,39;56,47
01-01-20;43,85;#N/A;#N/A;#N/A
31-12-19;43,85;16,458;24,64;56,4
30-12-19;44,66;16,507;25,09;56,34
27-12-19;41,33;13,595;26,7;57,25
26-12-19;41,33;#N/A;26,08;56,78
25-12-19;41,33;#N/A;#N/A;#N/A
24-12-19;41,33;13,592;26,08;56,78
23-12-19;41,93;13,966;26,54;56,83
20-12-19;42,77;14,833;26,67;57,48
19-12-19;43,33;15,154;26,85;58,63
18-12-19;43,1;14,947;26,58;59,12
17-12-19;42,98;14,652;26,07;59,33
16-12-19;42,41;14,252;24,86;59,08
13-12-19;42,94;14,159;24,02;59,18
12-12-19;42,98;14,844;25,07;59,99
11-12-19;42,95;14,279;24,48;59,27
10-12-19;43;14,615;24,94;59,4
09-12-19;43,45;14,835;25,13;59,78
06-12-19;43,93;15,042;24,94;60,35
05-12-19;44,08;15,316;24,69;61,39
04-12-19;44,4;15,682;24,74;62,24
03-12-19;44,26;15,58;24;62,34
02-12-19;44,77;15,658;24,33;62,75
29-11-19;45,49;16,09;25,22;63,54
28-11-19;45,93;16,21;25,01;63,2
27-11-19;46,11;16,528;25,11;64,08
26-11-19;45,41;16,331;24,38;63,92
25-11-19;46,17;16,682;24,44;64,1
22-11-19;46,19;16,629;24,58;64,67
21-11-19;45,35;16,307;23,94;64,62
20-11-19;44,96;16,233;24,03;64,06
19-11-19;44,81;16,128;23,44;63,36
18-11-19;44,83;16,063;23,39;62,6
15-11-19;45,24;16,383;23,85;63,9
14-11-19;45,05;16,25;23,96;63,88
13-11-19;45,26;15,93;24,39;63,2
12-11-19;45,15;16,024;24,12;63,03
11-11-19;45,94;16,216;24,93;62,42
08-11-19;45,88;16,35;24,84;63,19
07-11-19;46,11;16,501;24,94;63,99
06-11-19;46,52;16,681;24,79;63,8
05-11-19;46,84;17,001;25,51;64,93
04-11-19;46,3;16,818;25,63;64,48
01-11-19;46,45;16,525;25,29;64,44
31-10-19;46,26;16,42;25,61;63,92
30-10-19;46,6;16,413;26;63,84
29-10-19;46,64;16,6;25,45;64,23
28-10-19;46,37;16,661;25,12;64,33
25-10-19;46,66;16,9;24,97;65,2
24-10-19;47,05;17,135;25,44;66,3
23-10-19;46,99;16,983;24,75;65,97
22-10-19;47,45;17,129;25,66;66,85
21-10-19;48,51;17,242;25,93;67,99
18-10-19;48,24;17,493;25,88;68,06
17-10-19;48,08;17,595;26,06;67,97
16-10-19;48,72;17,747;26,3;67,8
15-10-19;48,1;17,81;25,71;68,75
14-10-19;47,8;17,899;24,15;69,65
11-10-19;47,95;18,071;24,44;68,95
10-10-19;46,64;17,703;23,26;68,12
09-10-19;46,51;17,499;22,65;68
08-10-19;46,3;17,374;22,53;67,65
07-10-19;46,35;17,293;23,41;66,73
04-10-19;46,47;17,316;22,94;65,68
03-10-19;46,29;17,263;23,24;65,05
02-10-19;47,1;17,522;24,19;65,2
01-10-19;47,66;18,094;25,04;66,2
30-09-19;47,91;#N/A;24,72;66,2
27-09-19;47,76;17,957;25,3;66,6
26-09-19;48,29;18,091;25,64;66,6
25-09-19;48,14;17,932;25,21;66,09
24-09-19;49,13;18,265;25,54;67,65
23-09-19;49,41;18,369;25,8;68,85
20-09-19;50,35;18,657;26,53;70,5
19-09-19;49,8;18,45;25,95;69,89
18-09-19;49,32;18,13;25,45;69,11
17-09-19;50,63;18,425;26,22;69,71
16-09-19;51,38;19,154;27,04;70,79
13-09-19;50,14;18;26,38;68,43
12-09-19;49,67;18,085;26,43;68,1
11-09-19;50,46;18,51;26,27;67,68
10-09-19;49,55;18,425;26,72;68,4
09-09-19;47,6;17,117;25,02;66,23
06-09-19;47,49;16,991;25,08;65,83
05-09-19;47,14;16,994;25,53;65,25
04-09-19;47,42;16,652;25,52;64,25
03-09-19;46,73;16,633;25,23;64,6
02-09-19;46,7;16,595;25,19;63,7
30-08-19;48,29;17,081;26,32;64
29-08-19;47,28;17,056;26,46;64,25
28-08-19;47,15;16,922;26,01;62,85
27-08-19;46,58;16,875;25,41;62,8
26-08-19;47,34;#N/A;25,83;63,9
23-08-19;46,95;17,098;25,1;63,55
22-08-19;47,99;17,315;25,66;63,62
21-08-19;48,01;17,339;26,02;63,61
20-08-19;48,44;17,28;26,25;63,82
19-08-19;48,44;17,201;26,56;63,76
16-08-19;48,14;17,286;25,96;63,73
15-08-19;48,3;17,33;25,98;64,08
14-08-19;48,61;17,509;26,91;65,1
13-08-19;49,1;17,644;27,1;65,82
12-08-19;48,96;17,371;26,7;64,66
09-08-19;50;17,563;28,12;64,95
08-08-19;50,11;17,625;28,53;65,95
07-08-19;49,89;17,567;28,28;65,5
06-08-19;50,26;17,75;28,41;#N/A
05-08-19;50,75;17,849;28,7;66,76
02-08-19;52,1;18,175;29,26;68,06
01-08-19;51,9;18,631;29,45;68,73
31-07-19;50,9;18,292;27,98;67,48
30-07-19;50,64;18,117;27,9;67,58
29-07-19;51,5;18,182;28,42;67,6
26-07-19;51,37;18,421;28,29;68,5
25-07-19;52,24;18,575;29,02;69,84
24-07-19;52,43;18,487;29,19;69,6
23-07-19;53,12;18,739;29,81;71,25
22-07-19;52,31;18,587;28,99;70,3
19-07-19;52,25;18,743;28,89;70,8
18-07-19;51,12;18,5;27,78;68,35
17-07-19;51,35;18,588;28,47;68,3
16-07-19;51,69;18,634;28,47;67,35
15-07-19;52,75;19,431;29,05;68,5
12-07-19;51,88;19,834;28,79;68,75
11-07-19;51,49;19,407;28,29;69,05
10-07-19;50,4;18,68;28,19;69
09-07-19;49,64;18,185;26,56;66,82
08-07-19;50,07;18,227;26,81;68,3
05-07-19;48,97;17,868;26,38;67,5
04-07-19;48;17,6;26,01;66,65
03-07-19;48,11;17,438;26,51;64,1
02-07-19;49,1;17,554;26,72;63,58
01-07-19;49,15;17,915;26,92;64,5
28-06-19;48,8;17,944;26,28;64,65
27-06-19;49,1;18,23;26,89;64,3
26-06-19;49,09;18,436;27,39;64,65
25-06-19;48,69;18,27;26,41;64,2
24-06-19;48,65;18,519;26,37;64,9
21-06-19;47,15;18,343;25,3;64,75
20-06-19;46,52;18,001;25,1;63,7
19-06-19;46,6;17,779;24,96;62,15
18-06-19;47,3;17,919;25,12;62,8
17-06-19;47,25;18,194;25,02;63,05
14-06-19;47,17;18,146;25,05;63,45
13-06-19;47,45;18,337;24,96;64,05
12-06-19;46,85;18,175;24,82;63,6
11-06-19;47,53;18,178;24,98;64,8
10-06-19;47,74;18,826;25,2;66,79
07-06-19;47,3;18,519;24,51;66,15
06-06-19;46,8;18,064;23,98;64,45
05-06-19;47,06;18,131;24,25;63,7
04-06-19;46,49;18,12;24,56;65,13
03-06-19;46,1;18,09;23,74;63,5
31-05-19;46,91;18,27;24,46;64,2
30-05-19;47,9;18,925;25,3;65,25
29-05-19;48,41;19,128;25,53;66,4
28-05-19;48,34;19,136;25,48;67,25
27-05-19;48,4;#N/A;25,59;67,1
24-05-19;48,15;18,881;25,47;67,1
23-05-19;48,22;19,004;26,06;67,65
22-05-19;48,75;19,054;26,37;68,8
21-05-19;47,65;18,936;25,38;69
20-05-19;47,89;18,926;25,2;67,6
17-05-19;48;18,976;25;69,2
16-05-19;49,06;19,214;25,57;69,7
15-05-19;48,82;19,445;25,97;71,2
14-05-19;48,24;19,246;25,89;70,69
13-05-19;48,71;19,018;25,03;69,4
10-05-19;48,75;18,901;25,62;70,56
09-05-19;49,61;19,35;26,5;70,4
08-05-19;49,63;19,518;26,91;71,5
07-05-19;49,2;19,642;26,4;70,5
06-05-19;48,5;#N/A;25,33;71,85
03-05-19;48,2;19,44;25,2;72,4
02-05-19;48,15;18,873;24,7;70,05
